date,weekday,start_local,end_local,duration_min,timezone_offset,id,v1_id,sport_id,sport_name,score_state,strain,kilojoule,average_heart_rate,max_heart_rate,percent_recorded,distance_meter,altitude_gain_meter,altitude_change_meter,zone_zero_min,zone_one_min,zone_two_min,zone_three_min,zone_four_min,zone_five_min
2025-07-30,Wednesday,2025-07-30 17:00:00,2025-07-30 18:37:29,97.483,+03:00,5be0c3f7-2f50-4988-bcab-0ee6a2803f87,1881468529,34,tennis,SCORED,12.729433,3022.3757,126,165,1,,,,6.966666667,56.39983333,20.6165,13.06666667,0.4333333333,0
2025-07-30,Wednesday,2025-07-30 22:10:36,2025-07-30 22:30:36,20,+03:00,dbea9f0b-14cf-4863-b4e7-2d7354e03697,1881846288,33,swimming,SCORED,5.8146377,504.89838,119,151,0.99916667,,,,5.783666667,8.016666667,5.383333333,0.8166666667,0,0
2025-07-31,Thursday,2025-07-31 21:39:21,2025-07-31 22:29:36,50.25128333,+03:00,cc67e2eb-32bb-4ebb-b84f-b357eadeb538,1884437972,0,running,SCORED,10.900891,1980.7452,135,157,0.9999745,,,,0.6,17.4,29.75,2.5,0,0
2025-08-01,Friday,2025-08-01 00:10:37,2025-08-01 00:35:37,25,+03:00,83c590b5-cd5c-4fe5-bb54-0df9f5c7264c,1884630994,44,yoga,SCORED,5.637615,128.34543,83,99,1,,,,25,0,0,0,0,0
2025-08-01,Friday,2025-08-01 00:36:28,2025-08-01 00:53:28,17,+03:00,0e841d50-a6e0-4df0-8cc5-f46535282241,1884629696,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-01,Friday,2025-08-01 20:03:00,2025-08-01 21:00:29,57.49116667,+03:00,a2230ede-a17c-42f1-84d9-e8747157485e,1886946406,34,tennis,SCORED,9.058052,1675.8215,124,154,0.99928397,,,,4.1,39.3495,13.66666667,0.3666666667,0,0
2025-08-02,Saturday,2025-08-02 00:21:37,2025-08-02 00:45:15,23.63403333,+03:00,cb5e551f-7d5b-4aa6-95d4-4e28ef5b0933,1887194088,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-02,Saturday,2025-08-02 12:16:30,2025-08-02 12:30:30,14,+03:00,cc2646e2-41ef-45b0-98c1-898b4781fea0,1888268259,44,yoga,SCORED,3.167585,71.87218,71,87,1,,,,14,0,0,0,0,0
2025-08-02,Saturday,2025-08-02 18:31:30,2025-08-02 20:04:29,92.98333333,+03:00,2b8b2ed9-4ede-4f58-9254-59b90ba153d0,1889449020,34,tennis,SCORED,12.327794,3040.4233,128,163,1,,,,1.1835,56.83316667,31.33333333,3.533333333,0.1,0
2025-08-02,Saturday,2025-08-02 20:35:33,2025-08-02 20:54:33,19,+03:00,7a367d6a-0529-4fdb-91cc-6a2478b6ebcf,1889522376,33,swimming,SCORED,5.5651584,454.86258,119,153,1,,,,3.466833333,10.55,3.7,1.283333333,0,0
2025-08-03,Sunday,2025-08-03 00:15:40,2025-08-03 00:37:40,22,+03:00,3412713f-06bc-4298-854b-d1e5454823f0,1889823691,70,meditation,SCORED,,,,,,,,,,,,,,
2025-08-03,Sunday,2025-08-03 12:15:35,2025-08-03 12:53:08,37.55215,+03:00,f12c923d-4de0-445e-8975-83101449861d,1890901213,44,yoga,SCORED,7.8109727,193.64676,72,108,0.9999427,,,,37.55,0,0,0,0,0
2025-08-03,Sunday,2025-08-03 16:20:10,2025-08-03 17:11:05,50.90901667,+03:00,8111857c-8679-4410-814d-13d3d7ebb943,1891565810,0,running,SCORED,11.683507,2038.2944,136,174,0.9998229,,,,0.6333333333,22.53333333,16.58333333,5.5835,5.316666667,0.25
2025-08-03,Sunday,2025-08-03 18:35:06,2025-08-03 19:50:06,75,+03:00,7abc60df-f2ba-450c-8010-eb3ffd801835,1891986764,233,sauna,SCORED,,,,,,,,,,,,,,
2025-08-04,Monday,2025-08-04 01:05:58,2025-08-04 01:27:58,22,+03:00,321a07ab-b39a-4969-8881-2ffabbeb5fea,1892428065,70,meditation,SCORED,,,,,,,,,,,,,,
